bare,built,crops,date,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
0.04527110166659351,0.0672199891648105,0.34252348218695217,2025-02-26,0.042060878923170814,0.03978281868216809,0.16163918482744627,0.046439095108851976,0.2170898811149269,0.03793191920213519
0.044471583113884425,0.04576867070390708,0.3871219665982399,2025-03-03,0.040550964268999075,0.12998875651390995,0.14438275186697314,0.045624613421028505,0.1261899118573538,0.03585966379500859
0.03788090276657606,0.07274535610005356,0.4718898350520618,2025-03-08,0.04621295894184032,0.09535104504744642,0.10777530569140144,0.04015549262039705,0.09046375716786163,0.03748339140929121
0.04869572981728146,0.06493488478701756,0.22535119941057744,2025-03-13,0.04196343037039779,0.060504451533422675,0.16590137631592028,0.05045458352831981,0.3097648912179895,0.032388323722257514
0.05410984968180456,0.049889113776857584,0.23318632857079571,2025-03-16,0.04136656747770617,0.04035340639398939,0.11874820288344586,0.047627885329721814,0.37969961017182574,0.03497882557677888
0.054484430353102666,0.07230176134558311,0.30107484026000714,2025-03-21,0.045324888998579414,0.08268767275432537,0.13993696838142625,0.04533841211913195,0.2160591125168554,0.042750042909367986
0.04373830901427494,0.04266918360916553,0.3560071241533496,2025-03-26,0.042326444591875706,0.11289993334202895,0.1421992097100858,0.04427899914134107,0.18002035468279817,0.035819879246667775
0.047813858762566476,0.03970766969039777,0.38646896355431076,2025-03-28,0.044595723984459795,0.08580286595388457,0.13148172649234927,0.04501625864462604,0.18043552788719028,0.038636311134371694
0.05435377055747489,0.0717246305731106,0.31119541783286087,2025-04-04,0.03794354099592474,0.058620235622220386,0.13219516216304222,0.049814143759950476,0.24747917298745387,0.03663247528621754
0.04682088010703256,0.04883675218594679,0.5068078901872117,2025-04-07,0.03790491823446114,0.09031182084578322,0.11388634733085326,0.04465162839723887,0.07788099373112285,0.032858782364768205
0.04596677176717869,0.04499741205744122,0.5029345994897362,2025-04-12,0.03999488485482176,0.11015549469857545,0.10183429818511924,0.04849639269152737,0.07237455911585725,0.03320534078854535
0.05296302583196244,0.06845177389592966,0.4953068893551044,2025-04-17,0.03849780257382178,0.07233549795462217,0.10260698860477696,0.04727871682762833,0.08591986525623296,0.03659836348760164
0.05382913439310788,0.049488005723300955,0.368255604071818,2025-04-17,0.04823801368433731,0.08944663903628444,0.1595504235630511,0.04523870304827733,0.14616044247066212,0.03975131460830051
0.056162400205243594,0.04303119001261419,0.4479291160647115,2025-04-22,0.043834530187300685,0.11366475603144985,0.1396988766537333,0.05067357691240061,0.07449816520816653,0.030466118406550762
0.05492705289903076,0.042313584667759224,0.2433200922644804,2025-04-25,0.04570347955831894,0.07589695711907612,0.2412887719443128,0.050663697277412184,0.21373327978988402,0.03211065192368911
0.05621194846895781,0.048291531139352466,0.37862579577810396,2025-04-30,0.04656845691417239,0.0763620392847261,0.20772706412818928,0.04426508624614851,0.10887720681448011,0.033030037190214384
0.0895240102338628,0.04494484567839605,0.413769244886887,2025-05-05,0.038053338183412,0.06075976199234672,0.20513686319407043,0.04634740062708386,0.07278089000373256,0.028642800545983785
0.08573682397836269,0.06150937300579003,0.46627754266763805,2025-05-07,0.03464675363614513,0.05171749615346329,0.16497874177363236,0.043588285690876284,0.06213318508836954,0.02937063337901048
0.11145643378855086,0.37694647224137073,0.10662984142322783,2025-05-27,0.04721201198078939,0.06198981323510057,0.12352691340252804,0.047437032891063054,0.0618987319244624,0.06286013171832991
0.10237836765431896,0.11820961306876418,0.26589731656077853,2025-06-09,0.0499885992938417,0.07421579184169999,0.14135639504814243,0.04659475678766184,0.13735645282301098,0.06395964887953122
0.038581391718051326,0.049354675221304316,0.3622409536760723,2025-09-07,0.05222964230441598,0.15421652882938106,0.09489423584911826,0.041463807682810536,0.16185416360043012,0.045122685968445646
0.08336170148463293,0.03496826790759813,0.04242160285021684,2025-10-19,0.04177938316528989,0.1531528599612065,0.1632261087508958,0.06898395970573128,0.38114467467777186,0.03091901938280285
0.03931424652402199,0.04031823086609617,0.2432327326300849,2025-11-06,0.04296741638532483,0.06792427295668865,0.10325958053317245,0.042894184556378355,0.3798900815991128,0.04015831297873087
0.03821088913158101,0.04310646741140153,0.3351143084140189,2025-11-10,0.03912746320263645,0.11623103676271813,0.08701252075798913,0.046198608619513984,0.25526729994174924,0.0396906917180147
0.03865851143958344,0.04500916003624093,0.40273533483107365,2025-11-13,0.03878679864578856,0.09670297308414086,0.07314570968190706,0.045521014393875084,0.21885181143592045,0.040547317104160395
0.060868495493852974,0.035323453065783154,0.14488866942707096,2025-11-18,0.0433547308250075,0.29455760109290063,0.17111284985475111,0.0411442499434718,0.1733570778875617,0.035350929506583216
